protein_id,experiment_name,time_stamp,n_chainbreaks,non_loop_fraction,non_loop_cutoff,radius_of_gyration,status,rejection_reason,error_reason
hsl014024,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:21+00:00,0,0,0.7,19.32076818,REJECTED,loopy_structure,
hsl014091,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:22+00:00,0,0,0.7,19.22644501,REJECTED,loopy_structure,
hsl014095,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:22+00:00,0,0,0.7,18.7698747,REJECTED,loopy_structure,
hsl014203,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:26+00:00,2,0,0.7,19.55508298,REJECTED,chainbreaks;loopy_structure,
hsl014208,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:26+00:00,0,0,0.7,19.24635063,REJECTED,loopy_structure,
hsl014221,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:27+00:00,0,0,0.7,18.55866187,REJECTED,loopy_structure,
hsl014249,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:28+00:00,2,0,0.7,19.40023855,REJECTED,chainbreaks;loopy_structure,
hsl014264,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:29+00:00,0,0,0.7,19.01635319,REJECTED,loopy_structure,
hsl014318,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:33+00:00,0,0,0.7,19.21183491,REJECTED,loopy_structure,
hsl014345,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:36+00:00,0,0,0.7,19.21437384,REJECTED,loopy_structure,
hsl014359,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:37+00:00,0,0,0.7,18.78450338,REJECTED,loopy_structure,
hsl014389,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:40+00:00,2,0,0.7,19.51190005,REJECTED,chainbreaks;loopy_structure,
hsl014415,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:43+00:00,0,0,0.7,18.82149631,REJECTED,loopy_structure,
hsl014438,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:46+00:00,0,0,0.7,19.43675322,REJECTED,loopy_structure,
hsl014499,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:54+00:00,0,0,0.7,19.08731057,REJECTED,loopy_structure,
hsl014512,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:39:56+00:00,0,0,0.7,18.89996309,REJECTED,loopy_structure,
hsl014553,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:40:03+00:00,0,0,0.7,18.94158821,REJECTED,loopy_structure,
hsl014560,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:40:04+00:00,0,0,0.7,18.65111106,REJECTED,loopy_structure,
hsl014729,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:40:36+00:00,0,0,0.7,18.93136244,REJECTED,loopy_structure,
hsl014730,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:40:36+00:00,0,0,0.7,19.04406132,REJECTED,loopy_structure,
hsl014797,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:40:51+00:00,0,0,0.7,18.99912716,REJECTED,loopy_structure,
hsl014831,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:40:59+00:00,0,0,0.7,19.2660369,REJECTED,loopy_structure,
hsl014850,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:03+00:00,0,0,0.7,19.08969207,REJECTED,loopy_structure,
hsl014863,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:07+00:00,0,0,0.7,18.94784702,REJECTED,loopy_structure,
hsl014936,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:26+00:00,0,0,0.7,19.38323406,REJECTED,loopy_structure,
hsl014943,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:28+00:00,0,0,0.7,19.14486582,REJECTED,loopy_structure,
hsl014995,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:42+00:00,0,0,0.7,18.74471991,REJECTED,loopy_structure,
hsm013014,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:44+00:00,0,0,0.7,18.6370577,REJECTED,loopy_structure,
hsm013024,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:44+00:00,0,0,0.7,18.81570859,REJECTED,loopy_structure,
hsm013026,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:44+00:00,0,0,0.7,19.04437723,REJECTED,loopy_structure,
hsm013032,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:44+00:00,0,0,0.7,18.9041852,REJECTED,loopy_structure,
hsm013036,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:44+00:00,0,0,0.7,18.43470124,REJECTED,loopy_structure,
hsm013057,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:45+00:00,0,0,0.7,19.09982843,REJECTED,loopy_structure,
hsm013060,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:41:45+00:00,0,0,0.7,19.19915683,REJECTED,loopy_structure,
