protein_id,experiment_name,time_stamp,n_chainbreaks,non_loop_fraction,non_loop_cutoff,radius_of_gyration,status,rejection_reason,error_reason
chitin_trial_000001,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000002,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000003,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000004,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000005,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000006,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000007,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000008,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000009,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
chitin_trial_000010,08092026_trial_run,2026-09-09T10:54:58+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000011,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000012,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000013,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000014,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000015,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000016,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000017,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000018,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000019,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000020,08092026_trial_run,2026-09-09T11:02:54+00:00,,,0.7,,ERROR,,missing_metadata_json
xlarge_000034,08092026_trial_run,2026-09-09T12:35:27+00:00,2,0.2826086957,0.7,19.97820492,REJECTED,chainbreaks;loopy_structure,
xlarge_000033,08092026_trial_run,2026-09-09T12:35:27+00:00,2,0.3081395349,0.7,19.42191093,REJECTED,chainbreaks;loopy_structure,
xlarge_000036,08092026_trial_run,2026-09-09T12:35:27+00:00,2,0.3673469388,0.7,19.82368542,REJECTED,chainbreaks;loopy_structure,
xlarge_000039,08092026_trial_run,2026-09-09T12:35:27+00:00,4,0.5053763441,0.7,19.73665204,REJECTED,chainbreaks;loopy_structure,
xlarge_000038,08092026_trial_run,2026-09-09T12:35:27+00:00,2,0.511627907,0.7,19.24743163,REJECTED,chainbreaks;loopy_structure,
xlarge_000035,08092026_trial_run,2026-09-09T12:35:27+00:00,4,0.5297029703,0.7,20.17118572,REJECTED,chainbreaks;loopy_structure,
xlarge_000032,08092026_trial_run,2026-09-09T12:35:27+00:00,0,0.5804597701,0.7,20.04492029,REJECTED,loopy_structure,
xlarge_000031,08092026_trial_run,2026-09-09T12:35:27+00:00,2,0.5977011494,0.7,20.62241555,REJECTED,chainbreaks;loopy_structure,
xlarge_000040,08092026_trial_run,2026-09-09T12:35:27+00:00,0,0.5979381443,0.7,20.1953251,REJECTED,loopy_structure,
xlarge_000037,08092026_trial_run,2026-09-09T12:35:27+00:00,2,0.7096774194,0.7,20.99514146,REJECTED,chainbreaks,
