protein_id,experiment,group,sequence_id,monomer_rmsd,monomer_matched_pairs,monomer_total_aligned_pairs,monomer_matched_fraction,monomer_ranking_score,monomer_pass,dimer_rmsd,dimer_matched_pairs,dimer_total_aligned_pairs,dimer_matched_fraction,dimer_ranking_score,dimer_pass,passed,destination
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01405201,0.0137,3,68,0.0441,0.7962,False,16.9513,136,136,1.0000,0.4680,False,False,rejected
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01405206,0.2208,3,68,0.0441,0.7024,False,22.7593,136,136,1.0000,0.6128,False,False,rejected
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01405211,12.5736,68,68,1.0000,0.7549,False,16.0703,136,136,1.0000,0.5045,False,False,rejected
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01419801,0.6250,61,67,0.9104,0.8089,True,14.4356,134,134,1.0000,0.2391,False,False,rejected
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01419807,0.7388,61,67,0.9104,0.6937,True,14.4693,134,134,1.0000,0.2258,False,False,rejected
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01419810,0.5307,51,67,0.7612,0.7000,False,22.0781,134,134,1.0000,0.5827,False,False,rejected
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01423403,0.8638,41,70,0.5857,0.7531,False,16.0458,140,140,1.0000,0.4002,False,False,rejected
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01423405,0.5983,62,70,0.8857,0.7443,True,21.4168,140,140,1.0000,0.3550,False,False,rejected
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01423408,0.4635,13,70,0.1857,0.6531,False,21.6203,140,140,1.0000,0.5961,False,False,rejected
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01444205,11.1469,71,71,1.0000,0.7837,False,17.9863,142,142,1.0000,0.4745,False,False,rejected
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01444208,10.1072,71,71,1.0000,0.5615,False,20.7811,142,142,1.0000,0.7170,False,False,rejected
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01444215,13.0908,71,71,1.0000,0.5128,False,21.2157,142,142,1.0000,0.8875,False,False,rejected
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01454806,0.9277,16,75,0.2133,0.6181,False,1.0291,4,150,0.0267,0.3413,False,False,rejected
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01454808,0.7192,32,75,0.4267,0.6646,False,22.2469,150,150,1.0000,0.2961,False,False,rejected
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01454811,10.0226,75,75,1.0000,0.5074,False,19.8858,150,150,1.0000,0.2495,False,False,rejected
hsl014707,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01470702,13.9545,78,78,1.0000,0.7168,False,19.1434,156,156,1.0000,0.4233,False,False,rejected
hsl014707,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01470709,15.4710,78,78,1.0000,0.4180,False,20.5944,156,156,1.0000,0.4184,False,False,rejected
hsl014707,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01470713,14.9870,78,78,1.0000,0.4086,False,14.0032,156,156,1.0000,0.1505,False,False,rejected
hsl014812,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01481200,0.9373,67,77,0.8701,0.6448,True,0.0231,3,154,0.0195,0.3997,False,False,rejected
hsl014812,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01481210,0.8081,26,77,0.3377,0.5909,False,14.1389,154,154,1.0000,0.1323,False,False,rejected
hsl014812,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01481212,0.6200,6,77,0.0779,0.5169,False,0.8445,3,154,0.0195,0.3036,False,False,rejected
hsl014968,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01496800,0.8722,5,63,0.0794,0.5719,False,15.6777,126,126,1.0000,0.2556,False,False,rejected
