protein_id,experiment,group,time_stamp,best_seq_1,best_seq_1_score,best_seq_2,best_seq_2_score,best_seq_3,best_seq_3_score
hsx015754,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,2026-08-18T20:01:45+00:00,hsx01575410,0.8893,hsx01575412,0.9133,hsx01575411,0.9216
shx011974,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01197410,0.9463,shx01197415,0.9947,shx01197407,1.0045
htl006254,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,2026-08-18T20:01:45+00:00,htl00625403,0.9471,htl00625401,0.9631,htl00625405,0.9646
hsx015165,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,2026-08-18T20:01:45+00:00,hsx01516504,0.9627,hsx01516500,1.0053,hsx01516505,1.0110
shm009822,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00982214,0.9685,shm00982203,0.9720,shm00982201,0.9732
hsl014707,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,2026-08-18T20:01:45+00:00,hsl01470702,0.9829,hsl01470709,0.9834,hsl01470713,0.9898
hsm013080,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,2026-08-18T20:01:45+00:00,hsm01308005,0.9940,hsm01308012,1.0375,hsm01308000,1.0502
htx007203,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00720307,0.9948,htx00720304,1.0056,htx00720313,1.0550
htx007168,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00716802,1.0004,htx00716813,1.0180,htx00716800,1.0277
ths000784,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00078403,1.0054,ths00078405,1.0058,ths00078411,1.0103
thm001225,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00122513,1.0120,thm00122512,1.0182,thm00122508,1.0208
