protein_id,experiment,sequence_id,score,ala_content,gly_content,other_content
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405200,1.2867,0.0588,0.1029,0.8382
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405201,1.2451,0.0441,0.1029,0.8529
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405202,1.3191,0.0441,0.0882,0.8676
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405203,1.3916,0.0735,0.1176,0.8088
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405204,1.2789,0.0588,0.1029,0.8382
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405205,1.3222,0.0294,0.1471,0.8235
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405206,1.2119,0.0588,0.1324,0.8088
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405207,1.2512,0.0735,0.1176,0.8088
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405208,1.2996,0.1029,0.1029,0.7941
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405209,1.3775,0.0588,0.1029,0.8382
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405210,1.3790,0.0294,0.1324,0.8382
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405211,1.2443,0.0441,0.1324,0.8235
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405212,1.2535,0.0294,0.1029,0.8676
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405213,1.3354,0.0441,0.1176,0.8382
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405214,1.2832,0.0588,0.1029,0.8382
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01405215,1.3218,0.0147,0.1029,0.8824
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419800,1.1360,0.0896,0.1045,0.8060
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419801,1.0955,0.1194,0.1045,0.7761
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419802,1.1669,0.0896,0.0746,0.8358
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419803,1.2334,0.1045,0.1045,0.7910
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419804,1.1129,0.0896,0.1045,0.8060
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419805,1.1904,0.1194,0.1045,0.7761
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419806,1.1794,0.0896,0.1045,0.8060
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419807,1.0758,0.0896,0.0896,0.8209
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419808,1.1600,0.0896,0.0896,0.8209
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419809,1.1101,0.1045,0.1045,0.7910
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419810,1.0639,0.0896,0.0896,0.8209
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419811,1.1902,0.1045,0.1045,0.7910
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419812,1.1104,0.0896,0.1045,0.8060
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419813,1.1335,0.1045,0.1045,0.7910
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419814,1.1995,0.0746,0.1045,0.8209
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01419815,1.1193,0.0896,0.0896,0.8209
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423400,1.0797,0.0571,0.1143,0.8286
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423401,1.1769,0.0714,0.1286,0.8000
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423402,1.0692,0.0714,0.1143,0.8143
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423403,1.0260,0.1000,0.1143,0.7857
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423404,1.0886,0.0714,0.1143,0.8143
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423405,1.0163,0.1000,0.1143,0.7857
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423406,1.0574,0.0857,0.1143,0.8000
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423407,1.0936,0.0429,0.1143,0.8429
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423408,1.0195,0.0857,0.1143,0.8000
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423409,1.1150,0.0714,0.1000,0.8286
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423410,1.0887,0.0714,0.1143,0.8143
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423411,1.0518,0.1000,0.1143,0.7857
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423412,1.0555,0.0571,0.1143,0.8286
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423413,1.0704,0.0571,0.1143,0.8286
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423414,1.0457,0.0714,0.1286,0.8000
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01423415,1.0681,0.0857,0.1143,0.8000
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444200,1.1754,0.0282,0.0986,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444201,1.1995,0.0141,0.0986,0.8873
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444202,1.2679,0.0423,0.0845,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444203,1.1865,0.0282,0.0986,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444204,1.2036,0.0282,0.0986,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444205,1.1638,0.0423,0.0986,0.8592
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444206,1.1842,0.0282,0.0986,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444207,1.1669,0.0282,0.0986,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444208,1.1594,0.0423,0.0986,0.8592
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444209,1.2354,0.0141,0.0986,0.8873
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444210,1.1904,0.0141,0.0986,0.8873
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444211,1.2221,0.0282,0.0986,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444212,1.1910,0.0282,0.0986,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444213,1.2277,0.0423,0.0845,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444214,1.2056,0.0282,0.0986,0.8732
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01444215,1.1559,0.0423,0.0986,0.8592
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454800,1.1064,0.0667,0.1200,0.8133
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454801,1.0848,0.0533,0.1200,0.8267
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454802,1.1185,0.0667,0.1200,0.8133
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454803,1.1482,0.0800,0.1067,0.8133
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454804,1.0835,0.0667,0.1200,0.8133
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454805,1.1000,0.0533,0.1200,0.8267
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454806,1.0228,0.0800,0.1200,0.8000
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454807,1.1656,0.0667,0.1200,0.8133
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454808,1.0504,0.0800,0.1067,0.8133
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454809,1.1712,0.0533,0.0933,0.8533
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454810,1.2295,0.0533,0.1200,0.8267
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454811,1.0480,0.0800,0.1067,0.8133
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454812,1.1442,0.0800,0.0933,0.8267
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454813,1.0618,0.0667,0.1200,0.8133
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsl01454814,1.0614,0.0667,0.1200,0.8133
