protein_id,experiment_name,time_stamp,protein_cellulose_clash_cutoff,protein_protein_clash_cutoff,protein_protein_contacts_cutoff,rmsd_after_kabsch,protein_cellulose_clashes,protein_protein_clashes,clashing_residues,protein_protein_contacts,status,rejection_reason
shl010774,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:42.927615,0,0,7,0.36388822028869644,14,7,"[(14, 72), (15, 73), (65, 42), (91, 29), (93, 82), (98, 79), (101, 31)]",404,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009715,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:34.585215,0,0,7,0.3574761984651799,4,5,"[(1, 77), (5, 75), (8, 25), (16, 28), (57, 35)]",371,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011946,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:40.698782,0,0,7,0.3486763001798586,36,3,"[(67, 33), (69, 43), (100, 46)]",391,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shl010814,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:43.066088,0,0,7,0.3590005296715941,0,4,"[(6, 73), (7, 81), (14, 78), (93, 46)]",323,REJECTED,['more_than_0_protein_protein_clashes']
shl010524,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:42.021329,0,0,7,0.3733205039731554,0,3,"[(17, 79), (99, 31), (101, 33)]",306,REJECTED,['more_than_0_protein_protein_clashes']
thx003029,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:10.433225,0,0,7,0.3661931711019617,47,3,"[(23, 34), (25, 82), (71, 43)]",348,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011683,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:35.849264,0,0,7,0.36453152215640156,14,5,"[(27, 81), (66, 43), (94, 78), (100, 83), (103, 37)]",309,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shl010408,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:41.745620,0,0,7,0.3615784231742443,75,4,"[(54, 35), (63, 73), (102, 78), (103, 80)]",358,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thx003753,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:25.297741,0,0,7,0.3471229838387273,67,6,"[(28, 81), (29, 82), (30, 83), (71, 51), (105, 93), (106, 41)]",350,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009270,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:33.109677,0,0,7,0.367051330506338,0,4,"[(47, 17), (50, 16), (86, 67), (92, 73)]",277,REJECTED,['more_than_0_protein_protein_clashes']
shx011460,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:29.369382,0,0,7,0.37828748567261455,9,3,"[(79, 43), (114, 92), (115, 93)]",280,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thl002008,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:55.645403,0,0,7,0.38373898074767465,3,4,"[(5, 75), (12, 30), (107, 79), (108, 80)]",256,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011630,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:34.149356,0,0,7,0.33487097298353435,46,3,"[(2, 40), (26, 45), (29, 96)]",290,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009005,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:31.754105,0,0,7,0.36415448898588365,13,2,"[(90, 66), (91, 68)]",253,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009523,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:34.020949,0,0,7,0.37509266476606434,0,3,"[(4, 68), (46, 17), (82, 61)]",241,REJECTED,['more_than_0_protein_protein_clashes']
shx011110,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:23.503295,0,0,7,0.36384892145648234,34,5,"[(17, 81), (20, 79), (97, 85), (101, 36), (102, 38)]",273,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011660,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:34.772268,0,0,7,0.36845558592108285,0,3,"[(17, 80), (20, 83), (62, 35)]",234,REJECTED,['more_than_0_protein_protein_clashes']
shm009654,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:34.315641,0,0,7,0.3757024317844133,4,6,"[(1, 72), (3, 23), (5, 74), (8, 27), (9, 82), (104, 78)]",239,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thx003722,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:24.223544,0,0,7,0.39607384785005867,48,5,"[(18, 85), (19, 84), (23, 83), (61, 39), (102, 90)]",278,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011023,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:21.955464,0,0,7,0.37832449821083025,0,2,"[(19, 44), (22, 81)]",225,REJECTED,['more_than_0_protein_protein_clashes']
shm009738,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:34.714493,0,0,7,0.36685146040237804,77,4,"[(55, 20), (57, 30), (58, 29), (92, 70)]",304,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009264,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:32.981977,0,0,7,0.3601972692344191,4,4,"[(9, 60), (11, 64), (74, 22), (83, 25)]",217,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shl010269,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:41.175045,0,0,7,0.3525885023332147,1,2,"[(87, 68), (89, 25)]",212,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009245,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:32.735050,0,0,7,0.3736458998192745,0,2,"[(7, 26), (88, 67)]",209,REJECTED,['more_than_0_protein_protein_clashes']
shm009336,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:33.235785,0,0,7,0.35339443850234187,2,1,"[(91, 68)]",209,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011923,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:40.257098,0,0,7,0.35510061239942736,0,2,"[(16, 81), (19, 75)]",207,REJECTED,['more_than_0_protein_protein_clashes']
shx011387,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:28.006899,0,0,7,0.360289413911548,12,2,"[(103, 44), (104, 45)]",218,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011004,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:21.582026,0,0,7,0.35364926895211046,0,1,"[(25, 82)]",200,REJECTED,['more_than_0_protein_protein_clashes']
shm009257,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:32.859901,0,0,7,0.3565644907586705,3,1,"[(2, 70)]",203,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thm001704,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:50.906145,0,0,7,0.35958701372214236,0,4,"[(8, 80), (9, 75), (13, 78), (56, 72)]",201,REJECTED,['more_than_0_protein_protein_clashes']
